document_id,project_id,project_name,publish_date,outlet,title,author
JKPOST0020150604eb6400014,P170,Morowali Tsingshan industrial area,2015-06-05,Tempo,"China Eyes Investment in Indonesian Steel, Ceramic and Pharmacy",
TEMPOE0020150605eb65001b9,P029,General,2015-06-08,The Jakarta Post,"Chinese investors will come, this time for real","Linda Yulisman, The Jakarta Post, Jakarta"
JKPOST0020150608eb680002v,P001,AIIB,2015-06-12,The Jakarta Post,Commentary: Indonesia's role in creating a new world order,
JKPOST0020150612eb6c0002w,P181,Morowali nickel smelter,2015-06-16,The Jakarta Post,Chinese joint venture builds nickel smelter in Morowali,"Ruslan Sangadji, The Jakarta Post, Palu"
JKPOST0020150616eb6g0001g,P029,General,2015-06-16,The Jakarta Post,Commentary: Tripwires in Indonesia's 'One China' policy,"Meidyatama Suryodiningrat, The Jakarta Post, Beijing"
JKPOST0020150616eb6g0002x,P029,General,2015-06-18,The Jakarta Post,State firms get $20b loan commitment from China bank,"Khoirul Amin, The Jakarta Post, Jakarta"
JKPOST0020150618eb6i00015,P029,General,2015-06-20,Tempo,"Bank of China, BKPM to Promote Investment",
TEMPOE0020150620eb6k0005n,P029,General,2015-06-25,The Jakarta Post,Three brilliant Chinese initiatives (Part 2 of 2 ),"1,178 words"
JKPOST0020150625eb6p0000r,P001,AIIB,2015-06-29,Tempo,China to Hold Slightly over 30 Pct of New Development Bank,
TEMPOE0020150629eb6t000xd,P001,AIIB,2015-06-30,The Jakarta Post,RI invests big in China-led infrastructure bank,"Satria Sambijantoro, The Jakarta Post, Jakarta"
JKPOST0020150630eb6u0000z,P001,AIIB,2015-07-01,Tempo,Indonesia Rallies ASEAN Neighbors to Get Key Position in AIIB,
TEMPOE0020150701eb71001jl,P029,General,2015-07-01,Tempo,Three SOE Banks Mull China Loan,
TEMPOE0020150701eb71000um,P029,General,2015-07-04,The Jakarta Post,Three brilliant Chinese initiatives,"2,293 words"
JKPOST0020150704eb740000n,P029,General,2015-07-08,The Jakarta Post,Analysis: Global economy: Bright spots and cloudy places,"1,047 words"
JKPOST0020150708eb7800068,P029,General,2015-07-13,The Jakarta Post,Mandiri looking to increase funds from non-traditional sources,"Tassia Sipahutar, The Jakarta Post, Jakarta"
JKPOST0020150713eb7d0003a,P001,AIIB,2015-07-23,The Jakarta Post,Why is Asian infrastructure bank different?,"1,182 words"
JKPOST0020150723eb7n0000a,P208,Sokon/DFSK car plant (Tangerang),2015-07-27,The Jakarta Post,Chinese car to be produced in Indonesia,"Grace D. Amianti, The Jakarta Post, Jakarta"
JKPOST0020150727eb7r0003b,P172,Morowali industrial estate,2015-07-28,The Jakarta Post,Industrial estate development may take longer than planned,"Grace D. Amianti, The Jakarta Post, Jakarta"
JKPOST0020150728eb7s0003e,P147,Maritime Silk Road,2015-08-05,The Jakarta Post,Maritime Silk Road can bridge China-ASEAN cooperation,"1,124 words"
